severity_level,severity_label,n,mean_h_score,median_h_score,std_h_score,h_score_ci_lo,h_score_ci_hi,corruption_types,spearman_rho_severity_vs_h,spearman_p_value
1,MINOR,30,0.3448,0.3449,0.1752,0.2829,0.413,['PARTIAL_CLAIM_CORRUPTION'],0.2875,4.0527206432195304e-07
2,MODERATE,180,0.4093,0.3562,0.1795,0.384,0.435,"['ENTITY_SUBSTITUTION', 'NUMERIC_SUBSTITUTION', 'DATE_SUBSTITUTION', 'TEMPORAL_ERROR', 'LOCATION_SUBSTITUTION', 'PERSON_SUBSTITUTION']",0.2875,4.0527206432195304e-07
3,MAJOR,60,0.4559,0.4416,0.1358,0.4227,0.493,"['CAUSAL_REVERSAL', 'MULTI_CLAIM_CORRUPTION']",0.2875,4.0527206432195304e-07
4,CRITICAL,30,0.5324,0.4475,0.1559,0.4766,0.5891,['CONTRADICTION'],0.2875,4.0527206432195304e-07
