sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
med_0071,0.6807,0.3453,0.5609,0.5609,0.0,PARTIAL_RENORMALIZED
med_0072,0.4998,0.226,0.402,0.402,0.0,PARTIAL_RENORMALIZED
med_0073,0.0,0.0974,0.0348,0.0348,0.0,PARTIAL_RENORMALIZED
med_0074,0.0,0.049,0.0175,0.0175,0.0,PARTIAL_RENORMALIZED
med_0075,0.4701,0.0844,0.3324,0.3324,0.0,PARTIAL_RENORMALIZED
med_0076,0.0,0.0967,0.0345,0.0345,0.0,PARTIAL_RENORMALIZED
med_0077,0.4026,0.072,0.2845,0.2845,0.0,PARTIAL_RENORMALIZED
med_0078,1.0,0.0276,0.6528,0.6528,0.0,PARTIAL_RENORMALIZED
med_0079,0.5003,0.1268,0.3669,0.3669,0.0,PARTIAL_RENORMALIZED
med_0080,0.0,0.0853,0.0305,0.0305,0.0,PARTIAL_RENORMALIZED
med_0081,0.4997,0.0931,0.3545,0.3545,0.0,PARTIAL_RENORMALIZED
med_0082,1.0,0.0678,0.6671,0.6671,0.0,PARTIAL_RENORMALIZED
med_0083,0.5516,0.0992,0.39,0.39,0.0,PARTIAL_RENORMALIZED
med_0084,0.0,0.0778,0.0278,0.0278,0.0,PARTIAL_RENORMALIZED
med_0085,0.5033,0.1036,0.3606,0.3606,0.0,PARTIAL_RENORMALIZED
med_0086,1.0,0.0459,0.6593,0.6593,0.0,PARTIAL_RENORMALIZED
med_0087,0.3745,0.1057,0.2785,0.2785,0.0,PARTIAL_RENORMALIZED
med_0088,0.0,0.1145,0.0409,0.0409,0.0,PARTIAL_RENORMALIZED
med_0089,0.5003,0.1674,0.3814,0.3814,0.0,PARTIAL_RENORMALIZED
med_0090,0.0,0.1417,0.0506,0.0506,0.0,PARTIAL_RENORMALIZED
med_0091,0.1603,0.1329,0.1505,0.1505,0.0,PARTIAL_RENORMALIZED
med_0092,0.0,0.3165,0.113,0.113,0.0,PARTIAL_RENORMALIZED
med_0093,0.4998,0.1239,0.3656,0.3656,0.0,PARTIAL_RENORMALIZED
med_0094,0.0,0.3136,0.112,0.112,0.0,PARTIAL_RENORMALIZED
med_0095,0.295,0.1442,0.2411,0.2411,0.0,PARTIAL_RENORMALIZED
med_0096,0.0,0.0864,0.0309,0.0309,0.0,PARTIAL_RENORMALIZED
med_0097,0.0,0.1126,0.0402,0.0402,0.0,PARTIAL_RENORMALIZED
med_0098,0.0,0.0404,0.0144,0.0144,0.0,PARTIAL_RENORMALIZED
med_0099,0.4986,0.105,0.358,0.358,0.0,PARTIAL_RENORMALIZED
med_0100,0.0,0.1128,0.0403,0.0403,0.0,PARTIAL_RENORMALIZED
law_0101,0.0,0.0904,0.0323,0.0323,0.0,PARTIAL_RENORMALIZED
law_0102,0.5005,0.1609,0.3792,0.3792,0.0,PARTIAL_RENORMALIZED
law_0103,0.337,0.0701,0.2417,0.2417,0.0,PARTIAL_RENORMALIZED
law_0104,0.6633,0.2709,0.5232,0.5232,0.0,PARTIAL_RENORMALIZED
law_0105,0.0,0.1035,0.037,0.037,0.0,PARTIAL_RENORMALIZED
law_0106,0.5005,0.2091,0.3964,0.3964,0.0,PARTIAL_RENORMALIZED
law_0107,0.4991,0.1822,0.3859,0.3859,0.0,PARTIAL_RENORMALIZED
law_0108,0.0,0.0556,0.0199,0.0199,0.0,PARTIAL_RENORMALIZED
law_0109,0.0,0.212,0.0757,0.0757,0.0,PARTIAL_RENORMALIZED
law_0110,0.4996,0.2789,0.4208,0.4208,0.0,PARTIAL_RENORMALIZED
law_0111,0.4416,0.0781,0.3118,0.3118,0.0,PARTIAL_RENORMALIZED
law_0112,0.5372,0.1987,0.4163,0.4163,0.0,PARTIAL_RENORMALIZED
law_0113,0.3966,0.1945,0.3244,0.3244,0.0,PARTIAL_RENORMALIZED
law_0114,0.0,0.1741,0.0622,0.0622,0.0,PARTIAL_RENORMALIZED
law_0115,0.0,0.1028,0.0367,0.0367,0.0,PARTIAL_RENORMALIZED
law_0116,0.3113,0.1469,0.2526,0.2526,0.0,PARTIAL_RENORMALIZED
law_0117,0.7916,0.1094,0.548,0.548,0.0,PARTIAL_RENORMALIZED
law_0118,0.5009,0.3759,0.4563,0.4563,0.0,PARTIAL_RENORMALIZED
law_0119,0.5001,0.0723,0.3473,0.3473,0.0,PARTIAL_RENORMALIZED
law_0120,0.0,0.0663,0.0237,0.0237,0.0,PARTIAL_RENORMALIZED
law_0121,0.45,0.1042,0.3265,0.3265,0.0,PARTIAL_RENORMALIZED
law_0122,0.4996,0.2528,0.4115,0.4115,0.0,PARTIAL_RENORMALIZED
law_0123,0.4429,0.0661,0.3083,0.3083,0.0,PARTIAL_RENORMALIZED
law_0124,0.0,0.0607,0.0217,0.0217,0.0,PARTIAL_RENORMALIZED
law_0125,0.0,0.1015,0.0362,0.0362,0.0,PARTIAL_RENORMALIZED
law_0126,0.5014,0.2875,0.425,0.425,0.0,PARTIAL_RENORMALIZED
law_0127,0.3518,0.187,0.2929,0.2929,0.0,PARTIAL_RENORMALIZED
law_0128,0.0,0.0453,0.0162,0.0162,0.0,PARTIAL_RENORMALIZED
law_0129,0.0,0.0683,0.0244,0.0244,0.0,PARTIAL_RENORMALIZED
law_0130,0.4997,0.242,0.4077,0.4077,0.0,PARTIAL_RENORMALIZED
law_0131,0.0,0.0954,0.0341,0.0341,0.0,PARTIAL_RENORMALIZED
law_0132,0.0,0.152,0.0543,0.0543,0.0,PARTIAL_RENORMALIZED
law_0133,0.0,0.3029,0.1082,0.1082,0.0,PARTIAL_RENORMALIZED
law_0134,0.0,0.2572,0.0918,0.0918,0.0,PARTIAL_RENORMALIZED
law_0135,0.0,0.0873,0.0312,0.0312,0.0,PARTIAL_RENORMALIZED
law_0136,0.0,0.0393,0.014,0.014,0.0,PARTIAL_RENORMALIZED
law_0137,0.0,0.1746,0.0623,0.0623,0.0,PARTIAL_RENORMALIZED
law_0138,0.349,0.2425,0.311,0.311,0.0,PARTIAL_RENORMALIZED
law_0139,0.3762,0.0678,0.2661,0.2661,0.0,PARTIAL_RENORMALIZED
law_0140,0.1519,0.158,0.1541,0.1541,0.0,PARTIAL_RENORMALIZED
law_0141,0.7496,0.1021,0.5184,0.5184,0.0,PARTIAL_RENORMALIZED
law_0142,0.0,0.4444,0.1587,0.1587,0.0,PARTIAL_RENORMALIZED
law_0143,0.0,0.0637,0.0227,0.0227,0.0,PARTIAL_RENORMALIZED
law_0144,0.0,0.0586,0.0209,0.0209,0.0,PARTIAL_RENORMALIZED
law_0145,0.3896,0.0757,0.2775,0.2775,0.0,PARTIAL_RENORMALIZED
law_0146,0.3521,0.1812,0.2911,0.2911,0.0,PARTIAL_RENORMALIZED
law_0147,0.0,0.1878,0.0671,0.0671,0.0,PARTIAL_RENORMALIZED
law_0148,0.0,0.2639,0.0942,0.0942,0.0,PARTIAL_RENORMALIZED
law_0149,0.4587,0.1771,0.3581,0.3581,0.0,PARTIAL_RENORMALIZED
law_0150,0.4908,0.2099,0.3905,0.3905,0.0,PARTIAL_RENORMALIZED
fin_0151,0.4943,0.0587,0.3387,0.3387,0.0,PARTIAL_RENORMALIZED
fin_0152,0.4993,0.1007,0.357,0.357,0.0,PARTIAL_RENORMALIZED
fin_0153,0.0,0.0834,0.0298,0.0298,0.0,PARTIAL_RENORMALIZED
fin_0154,0.0,0.1749,0.0625,0.0625,0.0,PARTIAL_RENORMALIZED
fin_0155,0.4967,0.0515,0.3377,0.3377,0.0,PARTIAL_RENORMALIZED
fin_0156,0.4988,0.0692,0.3454,0.3454,0.0,PARTIAL_RENORMALIZED
fin_0157,0.4834,,0.4834,0.4834,0.0,P1_ONLY
fin_0158,0.0,0.1093,0.039,0.039,0.0,PARTIAL_RENORMALIZED
fin_0159,0.4973,0.1656,0.3788,0.3788,0.0,PARTIAL_RENORMALIZED
fin_0160,0.4187,0.3136,0.3812,0.3812,0.0,PARTIAL_RENORMALIZED
fin_0161,0.0,0.0833,0.0297,0.0297,0.0,PARTIAL_RENORMALIZED
fin_0162,0.0,0.1168,0.0417,0.0417,0.0,PARTIAL_RENORMALIZED
fin_0163,0.3714,0.0858,0.2694,0.2694,0.0,PARTIAL_RENORMALIZED
fin_0164,0.5559,0.4391,0.5142,0.5142,0.0,PARTIAL_RENORMALIZED
fin_0165,0.0,,0.0,0.0,0.0,P1_ONLY
fin_0166,0.0,0.1303,0.0465,0.0465,0.0,PARTIAL_RENORMALIZED
fin_0167,0.4583,0.1721,0.3561,0.3561,0.0,PARTIAL_RENORMALIZED
fin_0168,0.4998,0.063,0.3438,0.3438,0.0,PARTIAL_RENORMALIZED
fin_0169,0.0,0.0828,0.0296,0.0296,0.0,PARTIAL_RENORMALIZED
fin_0170,0.0,0.1224,0.0437,0.0437,0.0,PARTIAL_RENORMALIZED
fin_0171,0.0,0.0791,0.0282,0.0282,0.0,PARTIAL_RENORMALIZED
fin_0172,0.4997,0.1021,0.3577,0.3577,0.0,PARTIAL_RENORMALIZED
fin_0173,0.4744,,0.4744,0.4744,0.0,P1_ONLY
fin_0174,0.0,0.0994,0.0355,0.0355,0.0,PARTIAL_RENORMALIZED
fin_0175,0.4418,0.0788,0.3122,0.3122,0.0,PARTIAL_RENORMALIZED
fin_0176,0.0,0.3004,0.1073,0.1073,0.0,PARTIAL_RENORMALIZED
fin_0177,0.0,,0.0,0.0,0.0,P1_ONLY
fin_0178,0.0,0.1087,0.0388,0.0388,0.0,PARTIAL_RENORMALIZED
fin_0179,0.3306,0.0819,0.2418,0.2418,0.0,PARTIAL_RENORMALIZED
fin_0180,0.4998,0.3092,0.4317,0.4317,0.0,PARTIAL_RENORMALIZED
fin_0181,0.4606,,0.4606,0.4606,0.0,P1_ONLY
fin_0182,0.0,0.0736,0.0263,0.0263,0.0,PARTIAL_RENORMALIZED
fin_0183,0.0,0.0753,0.0269,0.0269,0.0,PARTIAL_RENORMALIZED
fin_0184,0.5,0.0715,0.347,0.347,0.0,PARTIAL_RENORMALIZED
fin_0185,0.0,0.042,0.015,0.015,0.0,PARTIAL_RENORMALIZED
fin_0186,0.0,0.0999,0.0357,0.0357,0.0,PARTIAL_RENORMALIZED
fin_0187,0.4957,0.0682,0.343,0.343,0.0,PARTIAL_RENORMALIZED
fin_0188,0.4971,0.0923,0.3525,0.3525,0.0,PARTIAL_RENORMALIZED
fin_0189,0.0,0.0683,0.0244,0.0244,0.0,PARTIAL_RENORMALIZED
fin_0190,0.0,0.1344,0.048,0.048,0.0,PARTIAL_RENORMALIZED
fin_0191,0.3356,0.154,0.2708,0.2708,0.0,PARTIAL_RENORMALIZED
fin_0192,0.0,0.1098,0.0392,0.0392,0.0,PARTIAL_RENORMALIZED
fin_0193,0.0,0.0509,0.0182,0.0182,0.0,PARTIAL_RENORMALIZED
fin_0194,0.0,0.0946,0.0338,0.0338,0.0,PARTIAL_RENORMALIZED
fin_0195,0.4897,0.1028,0.3515,0.3515,0.0,PARTIAL_RENORMALIZED
fin_0196,0.4664,0.0532,0.3188,0.3188,0.0,PARTIAL_RENORMALIZED
fin_0197,0.0,0.0592,0.0211,0.0211,0.0,PARTIAL_RENORMALIZED
fin_0198,0.4058,0.1148,0.3019,0.3019,0.0,PARTIAL_RENORMALIZED
fin_0199,0.0,0.0282,0.0101,0.0101,0.0,PARTIAL_RENORMALIZED
fin_0200,0.4989,0.0873,0.3519,0.3519,0.0,PARTIAL_RENORMALIZED
his_0201,0.1333,0.0003,0.0858,0.0858,0.0,PARTIAL_RENORMALIZED
his_0202,0.5018,0.6486,0.5542,0.5542,0.0,PARTIAL_RENORMALIZED
his_0203,0.9996,0.2127,0.7186,0.7186,0.0,PARTIAL_RENORMALIZED
his_0204,0.006,0.0498,0.0216,0.0216,0.0,PARTIAL_RENORMALIZED
his_0205,0.0147,0.411,0.1562,0.1562,0.0,PARTIAL_RENORMALIZED
his_0206,0.338,0.2489,0.3062,0.3062,0.0,PARTIAL_RENORMALIZED
his_0207,0.9985,0.3937,0.7825,0.7825,0.0,PARTIAL_RENORMALIZED
his_0208,0.9,0.0363,0.5916,0.5916,0.0,PARTIAL_RENORMALIZED
his_0209,0.1594,0.4561,0.2654,0.2654,0.0,PARTIAL_RENORMALIZED
his_0210,0.5032,0.6069,0.5402,0.5402,0.0,PARTIAL_RENORMALIZED
his_0211,0.891,0.3164,0.6858,0.6858,0.0,PARTIAL_RENORMALIZED
his_0212,0.0036,0.0806,0.0311,0.0311,0.0,PARTIAL_RENORMALIZED
his_0213,0.1333,0.0474,0.1026,0.1026,0.0,PARTIAL_RENORMALIZED
his_0214,0.0,0.5903,0.2108,0.2108,0.0,PARTIAL_RENORMALIZED
his_0215,0.9457,0.1979,0.6787,0.6787,0.0,PARTIAL_RENORMALIZED
his_0216,0.0148,0.0652,0.0328,0.0328,0.0,PARTIAL_RENORMALIZED
his_0217,0.1333,0.0003,0.0858,0.0858,0.0,PARTIAL_RENORMALIZED
his_0218,0.3378,0.1091,0.2561,0.2561,0.0,PARTIAL_RENORMALIZED
his_0219,0.1125,0.4355,0.2278,0.2278,0.0,PARTIAL_RENORMALIZED
