sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
com_0312,0.0,0.3537,0.1263,0.1263,0.0,PARTIAL_RENORMALIZED
com_0313,0.5,0.1968,0.3917,0.3917,0.0,PARTIAL_RENORMALIZED
com_0314,0.0,,0.0,0.0,0.0,P1_ONLY
com_0315,0.0,0.1344,0.048,0.048,0.0,PARTIAL_RENORMALIZED
com_0316,0.1396,0.188,0.1569,0.1569,0.0,PARTIAL_RENORMALIZED
com_0317,0.502,0.0966,0.3572,0.3572,0.0,PARTIAL_RENORMALIZED
com_0318,0.0,0.1514,0.0541,0.0541,0.0,PARTIAL_RENORMALIZED
com_0319,0.0,0.1498,0.0535,0.0535,0.0,PARTIAL_RENORMALIZED
com_0320,0.0,0.452,0.1614,0.1614,0.0,PARTIAL_RENORMALIZED
com_0321,1.0,0.1273,0.6884,0.6884,0.0,PARTIAL_RENORMALIZED
com_0322,0.0,,0.0,0.0,0.0,P1_ONLY
com_0323,0.5256,0.1381,0.3872,0.3872,0.0,PARTIAL_RENORMALIZED
com_0324,0.4122,0.2689,0.361,0.361,0.0,PARTIAL_RENORMALIZED
com_0325,0.4999,0.1228,0.3652,0.3652,0.0,PARTIAL_RENORMALIZED
com_0326,0.4927,0.1457,0.3688,0.3688,0.0,PARTIAL_RENORMALIZED
com_0327,0.0,0.273,0.0975,0.0975,0.0,PARTIAL_RENORMALIZED
com_0328,0.0,0.4498,0.1606,0.1606,0.0,PARTIAL_RENORMALIZED
com_0329,0.4999,0.0711,0.3468,0.3468,0.0,PARTIAL_RENORMALIZED
com_0330,0.0,0.0654,0.0234,0.0234,0.0,PARTIAL_RENORMALIZED
com_0331,0.6925,0.0979,0.4802,0.4802,0.0,PARTIAL_RENORMALIZED
com_0332,0.0,0.4069,0.1453,0.1453,0.0,PARTIAL_RENORMALIZED
com_0333,0.4999,0.1102,0.3607,0.3607,0.0,PARTIAL_RENORMALIZED
com_0334,0.0,,0.0,0.0,0.0,P1_ONLY
com_0335,0.3829,0.0724,0.272,0.272,0.0,PARTIAL_RENORMALIZED
com_0336,0.5758,0.3923,0.5103,0.5103,0.0,PARTIAL_RENORMALIZED
com_0337,1.0,0.0374,0.6563,0.6563,0.0,PARTIAL_RENORMALIZED
com_0338,0.0,,0.0,0.0,0.0,P1_ONLY
com_0339,0.3359,0.1118,0.2559,0.2559,0.0,PARTIAL_RENORMALIZED
com_0340,0.0,0.4507,0.1609,0.1609,0.0,PARTIAL_RENORMALIZED
com_0341,0.0,0.0858,0.0306,0.0306,0.0,PARTIAL_RENORMALIZED
com_0342,0.0,0.2724,0.0973,0.0973,0.0,PARTIAL_RENORMALIZED
com_0343,0.32,0.0568,0.226,0.226,0.0,PARTIAL_RENORMALIZED
com_0344,0.2865,0.196,0.2542,0.2542,0.0,PARTIAL_RENORMALIZED
com_0345,0.0,0.1689,0.0603,0.0603,0.0,PARTIAL_RENORMALIZED
com_0346,0.0,0.2596,0.0927,0.0927,0.0,PARTIAL_RENORMALIZED
com_0347,0.6071,,0.6071,0.6071,0.0,P1_ONLY
com_0348,0.0,0.2224,0.0794,0.0794,0.0,PARTIAL_RENORMALIZED
com_0349,0.3361,0.0818,0.2453,0.2453,0.0,PARTIAL_RENORMALIZED
com_0350,0.0,,0.0,0.0,0.0,P1_ONLY
phy_0351,0.0,0.1091,0.039,0.039,0.0,PARTIAL_RENORMALIZED
phy_0352,0.3593,0.0931,0.2642,0.2642,0.0,PARTIAL_RENORMALIZED
phy_0353,0.0,0.142,0.0507,0.0507,0.0,PARTIAL_RENORMALIZED
phy_0354,0.0,0.1063,0.038,0.038,0.0,PARTIAL_RENORMALIZED
phy_0355,0.1235,0.0653,0.1027,0.1027,0.0,PARTIAL_RENORMALIZED
phy_0356,0.5747,0.2255,0.45,0.45,0.0,PARTIAL_RENORMALIZED
phy_0357,0.0,0.2975,0.1062,0.1062,0.0,PARTIAL_RENORMALIZED
phy_0358,0.0,0.117,0.0418,0.0418,0.0,PARTIAL_RENORMALIZED
phy_0359,0.0,0.1086,0.0388,0.0388,0.0,PARTIAL_RENORMALIZED
phy_0360,0.0,0.0795,0.0284,0.0284,0.0,PARTIAL_RENORMALIZED
phy_0361,0.0,0.3188,0.1138,0.1138,0.0,PARTIAL_RENORMALIZED
phy_0362,0.4782,0.0697,0.3323,0.3323,0.0,PARTIAL_RENORMALIZED
phy_0363,0.0,0.1334,0.0476,0.0476,0.0,PARTIAL_RENORMALIZED
phy_0364,0.2674,0.0656,0.1953,0.1953,0.0,PARTIAL_RENORMALIZED
phy_0365,0.6512,0.2119,0.4943,0.4943,0.0,PARTIAL_RENORMALIZED
phy_0366,0.679,0.259,0.529,0.529,0.0,PARTIAL_RENORMALIZED
phy_0367,0.0,0.0996,0.0356,0.0356,0.0,PARTIAL_RENORMALIZED
phy_0368,0.4181,0.0443,0.2846,0.2846,0.0,PARTIAL_RENORMALIZED
phy_0369,0.0,0.1949,0.0696,0.0696,0.0,PARTIAL_RENORMALIZED
phy_0370,0.0,0.4462,0.1593,0.1593,0.0,PARTIAL_RENORMALIZED
phy_0371,0.0,0.0947,0.0338,0.0338,0.0,PARTIAL_RENORMALIZED
phy_0372,0.3812,0.1833,0.3105,0.3105,0.0,PARTIAL_RENORMALIZED
phy_0373,0.0,0.3282,0.1172,0.1172,0.0,PARTIAL_RENORMALIZED
phy_0374,0.0,0.0883,0.0315,0.0315,0.0,PARTIAL_RENORMALIZED
phy_0375,0.0,0.1152,0.0411,0.0411,0.0,PARTIAL_RENORMALIZED
phy_0376,0.4576,0.0558,0.3141,0.3141,0.0,PARTIAL_RENORMALIZED
phy_0377,0.0,0.3081,0.11,0.11,0.0,PARTIAL_RENORMALIZED
phy_0378,0.0,0.3445,0.123,0.123,0.0,PARTIAL_RENORMALIZED
phy_0379,0.0,0.1299,0.0464,0.0464,0.0,PARTIAL_RENORMALIZED
phy_0380,0.1334,0.0444,0.1016,0.1016,0.0,PARTIAL_RENORMALIZED
phy_0381,0.0,0.351,0.1253,0.1253,0.0,PARTIAL_RENORMALIZED
phy_0382,0.0,0.1384,0.0494,0.0494,0.0,PARTIAL_RENORMALIZED
phy_0383,0.0,0.0756,0.027,0.027,0.0,PARTIAL_RENORMALIZED
phy_0384,0.4344,0.0672,0.3033,0.3033,0.0,PARTIAL_RENORMALIZED
phy_0385,0.0,0.3238,0.1156,0.1156,0.0,PARTIAL_RENORMALIZED
phy_0386,0.492,0.3349,0.4359,0.4359,0.0,PARTIAL_RENORMALIZED
phy_0387,0.329,0.1405,0.2617,0.2617,0.0,PARTIAL_RENORMALIZED
phy_0388,0.6625,0.0604,0.4475,0.4475,0.0,PARTIAL_RENORMALIZED
phy_0389,0.2382,0.1798,0.2173,0.2173,0.0,PARTIAL_RENORMALIZED
phy_0390,0.0,0.4811,0.1718,0.1718,0.0,PARTIAL_RENORMALIZED
phy_0391,0.0,0.0426,0.0152,0.0152,0.0,PARTIAL_RENORMALIZED
phy_0392,0.3739,0.0772,0.2679,0.2679,0.0,PARTIAL_RENORMALIZED
phy_0393,0.2908,0.2162,0.2642,0.2642,0.0,PARTIAL_RENORMALIZED
phy_0394,0.4496,0.2648,0.3836,0.3836,0.0,PARTIAL_RENORMALIZED
phy_0395,0.4998,0.1224,0.365,0.365,0.0,PARTIAL_RENORMALIZED
phy_0396,0.2753,0.1809,0.2416,0.2416,0.0,PARTIAL_RENORMALIZED
phy_0397,0.0,0.27,0.0964,0.0964,0.0,PARTIAL_RENORMALIZED
phy_0398,0.0,0.3196,0.1141,0.1141,0.0,PARTIAL_RENORMALIZED
phy_0399,0.0,0.0777,0.0277,0.0277,0.0,PARTIAL_RENORMALIZED
phy_0400,0.4995,0.1955,0.3909,0.3909,0.0,PARTIAL_RENORMALIZED
bio_0401,0.2092,0.0467,0.1512,0.1512,0.0,PARTIAL_RENORMALIZED
bio_0402,0.2725,0.0958,0.2094,0.2094,0.0,PARTIAL_RENORMALIZED
bio_0403,0.4316,0.0889,0.3092,0.3092,0.0,PARTIAL_RENORMALIZED
bio_0404,0.2964,0.0928,0.2237,0.2237,0.0,PARTIAL_RENORMALIZED
bio_0405,0.05,0.0691,0.0568,0.0568,0.0,PARTIAL_RENORMALIZED
bio_0406,0.0132,0.1035,0.0454,0.0454,0.0,PARTIAL_RENORMALIZED
bio_0407,0.102,0.0881,0.097,0.097,0.0,PARTIAL_RENORMALIZED
bio_0408,0.0,0.1051,0.0375,0.0375,0.0,PARTIAL_RENORMALIZED
bio_0409,0.05,0.0191,0.039,0.039,0.0,PARTIAL_RENORMALIZED
bio_0410,0.3264,0.106,0.2477,0.2477,0.0,PARTIAL_RENORMALIZED
bio_0411,0.3881,0.0962,0.2839,0.2839,0.0,PARTIAL_RENORMALIZED
bio_0412,0.0,0.1188,0.0424,0.0424,0.0,PARTIAL_RENORMALIZED
bio_0413,0.5039,0.0883,0.3555,0.3555,0.0,PARTIAL_RENORMALIZED
bio_0414,0.6,0.0922,0.4187,0.4187,0.0,PARTIAL_RENORMALIZED
bio_0415,0.2627,0.0944,0.2026,0.2026,0.0,PARTIAL_RENORMALIZED
bio_0416,0.4238,0.1037,0.3095,0.3095,0.0,PARTIAL_RENORMALIZED
bio_0417,0.2752,0.0613,0.1988,0.1988,0.0,PARTIAL_RENORMALIZED
bio_0418,0.4954,0.1284,0.3643,0.3643,0.0,PARTIAL_RENORMALIZED
bio_0419,0.2673,0.1202,0.2148,0.2148,0.0,PARTIAL_RENORMALIZED
bio_0420,0.4917,0.3026,0.4242,0.4242,0.0,PARTIAL_RENORMALIZED
bio_0421,0.05,0.0199,0.0393,0.0393,0.0,PARTIAL_RENORMALIZED
bio_0422,0.3353,0.1036,0.2526,0.2526,0.0,PARTIAL_RENORMALIZED
bio_0423,0.3368,0.1193,0.2591,0.2591,0.0,PARTIAL_RENORMALIZED
bio_0424,0.4427,0.2743,0.3826,0.3826,0.0,PARTIAL_RENORMALIZED
bio_0425,0.0673,0.0502,0.0612,0.0612,0.0,PARTIAL_RENORMALIZED
bio_0426,0.6661,0.0845,0.4584,0.4584,0.0,PARTIAL_RENORMALIZED
bio_0427,0.2431,0.0873,0.1875,0.1875,0.0,PARTIAL_RENORMALIZED
bio_0428,0.2115,0.0984,0.1711,0.1711,0.0,PARTIAL_RENORMALIZED
bio_0429,0.05,0.0643,0.0551,0.0551,0.0,PARTIAL_RENORMALIZED
bio_0430,0.0079,0.0942,0.0387,0.0387,0.0,PARTIAL_RENORMALIZED
bio_0431,0.2375,0.0968,0.1873,0.1873,0.0,PARTIAL_RENORMALIZED
bio_0432,0.4896,0.1728,0.3765,0.3765,0.0,PARTIAL_RENORMALIZED
bio_0433,0.2371,0.0757,0.1795,0.1795,0.0,PARTIAL_RENORMALIZED
bio_0434,0.6899,0.0947,0.4774,0.4774,0.0,PARTIAL_RENORMALIZED
bio_0435,0.1051,0.1436,0.1188,0.1188,0.0,PARTIAL_RENORMALIZED
bio_0436,0.313,,0.313,0.313,0.0,P1_ONLY
bio_0437,0.508,0.0747,0.3533,0.3533,0.0,PARTIAL_RENORMALIZED
bio_0438,0.5287,0.113,0.3803,0.3803,0.0,PARTIAL_RENORMALIZED
bio_0439,0.2461,0.1134,0.1987,0.1987,0.0,PARTIAL_RENORMALIZED
bio_0440,0.5375,0.3112,0.4567,0.4567,0.0,PARTIAL_RENORMALIZED
bio_0441,0.1036,0.0596,0.0879,0.0879,0.0,PARTIAL_RENORMALIZED
bio_0442,0.4584,0.1165,0.3363,0.3363,0.0,PARTIAL_RENORMALIZED
bio_0443,0.3552,0.138,0.2776,0.2776,0.0,PARTIAL_RENORMALIZED
bio_0444,0.0,0.2168,0.0774,0.0774,0.0,PARTIAL_RENORMALIZED
bio_0445,0.2273,0.0615,0.1681,0.1681,0.0,PARTIAL_RENORMALIZED
bio_0446,0.6052,0.1133,0.4295,0.4295,0.0,PARTIAL_RENORMALIZED
bio_0447,0.3492,0.1134,0.265,0.265,0.0,PARTIAL_RENORMALIZED
bio_0448,0.4038,0.0973,0.2943,0.2943,0.0,PARTIAL_RENORMALIZED
bio_0449,0.05,0.0403,0.0465,0.0465,0.0,PARTIAL_RENORMALIZED
bio_0450,0.4403,0.0742,0.3096,0.3096,0.0,PARTIAL_RENORMALIZED
che_0451,0.0184,0.0975,0.0466,0.0466,0.0,PARTIAL_RENORMALIZED
che_0452,0.0,0.2029,0.0725,0.0725,0.0,PARTIAL_RENORMALIZED
che_0453,0.5475,0.4968,0.5294,0.5294,0.0,PARTIAL_RENORMALIZED
che_0454,0.8208,0.212,0.6034,0.6034,0.0,PARTIAL_RENORMALIZED
che_0455,0.5029,0.1117,0.3632,0.3632,0.0,PARTIAL_RENORMALIZED
che_0456,1.0,0.1734,0.7048,0.7048,0.0,PARTIAL_RENORMALIZED
che_0457,0.0658,0.0412,0.057,0.057,0.0,PARTIAL_RENORMALIZED
che_0458,0.4981,0.4058,0.4651,0.4651,0.0,PARTIAL_RENORMALIZED
che_0459,0.9362,0.1763,0.6648,0.6648,0.0,PARTIAL_RENORMALIZED
che_0460,1.0,0.0594,0.6641,0.6641,0.0,PARTIAL_RENORMALIZED
che_0461,0.5499,0.3461,0.4771,0.4771,0.0,PARTIAL_RENORMALIZED
che_0462,0.8611,0.1678,0.6135,0.6135,0.0,PARTIAL_RENORMALIZED
che_0463,0.5074,0.2532,0.4166,0.4166,0.0,PARTIAL_RENORMALIZED
che_0464,1.0,0.0623,0.6651,0.6651,0.0,PARTIAL_RENORMALIZED
che_0465,0.0,0.4257,0.152,0.152,0.0,PARTIAL_RENORMALIZED
che_0466,0.5209,0.0698,0.3598,0.3598,0.0,PARTIAL_RENORMALIZED
che_0467,0.4287,0.1395,0.3254,0.3254,0.0,PARTIAL_RENORMALIZED
che_0468,0.0,0.221,0.0789,0.0789,0.0,PARTIAL_RENORMALIZED
che_0469,0.4978,0.1991,0.3911,0.3911,0.0,PARTIAL_RENORMALIZED
che_0470,0.7503,0.0377,0.4958,0.4958,0.0,PARTIAL_RENORMALIZED
che_0471,0.3396,0.1083,0.257,0.257,0.0,PARTIAL_RENORMALIZED
che_0472,1.0,0.049,0.6604,0.6604,0.0,PARTIAL_RENORMALIZED
che_0473,0.0658,0.0357,0.0551,0.0551,0.0,PARTIAL_RENORMALIZED
che_0474,0.8134,0.2067,0.5967,0.5967,0.0,PARTIAL_RENORMALIZED
che_0475,0.5006,0.1401,0.3719,0.3719,0.0,PARTIAL_RENORMALIZED
che_0476,0.0,0.0778,0.0278,0.0278,0.0,PARTIAL_RENORMALIZED
che_0477,0.4583,0.2699,0.391,0.391,0.0,PARTIAL_RENORMALIZED
che_0478,0.9106,0.0434,0.6009,0.6009,0.0,PARTIAL_RENORMALIZED
che_0479,0.3321,0.2074,0.2876,0.2876,0.0,PARTIAL_RENORMALIZED
che_0480,1.0,0.1708,0.7039,0.7039,0.0,PARTIAL_RENORMALIZED
che_0481,0.9952,0.0806,0.6686,0.6686,0.0,PARTIAL_RENORMALIZED
che_0482,0.83,0.0523,0.5523,0.5523,0.0,PARTIAL_RENORMALIZED
che_0483,0.501,0.1492,0.3754,0.3754,0.0,PARTIAL_RENORMALIZED
che_0484,1.0,0.0942,0.6765,0.6765,0.0,PARTIAL_RENORMALIZED
che_0485,0.15,0.0361,0.1093,0.1093,0.0,PARTIAL_RENORMALIZED
che_0486,0.8184,0.1661,0.5855,0.5855,0.0,PARTIAL_RENORMALIZED
che_0487,0.4697,0.186,0.3684,0.3684,0.0,PARTIAL_RENORMALIZED
che_0488,1.0,0.2136,0.7192,0.7192,0.0,PARTIAL_RENORMALIZED
che_0489,0.0658,0.0142,0.0474,0.0474,0.0,PARTIAL_RENORMALIZED
che_0490,0.5004,0.3896,0.4608,0.4608,0.0,PARTIAL_RENORMALIZED
che_0491,0.4905,0.1606,0.3727,0.3727,0.0,PARTIAL_RENORMALIZED
che_0492,1.0,0.2487,0.7317,0.7317,0.0,PARTIAL_RENORMALIZED
che_0493,0.0331,0.0285,0.0315,0.0315,0.0,PARTIAL_RENORMALIZED
che_0494,0.5434,0.0634,0.372,0.372,0.0,PARTIAL_RENORMALIZED
che_0495,0.4832,0.1301,0.3571,0.3571,0.0,PARTIAL_RENORMALIZED
che_0496,0.0,0.2821,0.1007,0.1007,0.0,PARTIAL_RENORMALIZED
che_0497,0.0658,0.0069,0.0448,0.0448,0.0,PARTIAL_RENORMALIZED
che_0498,0.8484,0.1862,0.6119,0.6119,0.0,PARTIAL_RENORMALIZED
che_0499,0.5021,0.1207,0.3659,0.3659,0.0,PARTIAL_RENORMALIZED
che_0500,0.0,0.1813,0.0647,0.0647,0.0,PARTIAL_RENORMALIZED
new_0501,0.0,0.068,0.0243,0.0243,0.0,PARTIAL_RENORMALIZED
new_0502,0.3505,0.0917,0.2581,0.2581,0.0,PARTIAL_RENORMALIZED
new_0503,0.4591,0.0465,0.3118,0.3118,0.0,PARTIAL_RENORMALIZED
new_0504,0.4514,0.0856,0.3208,0.3208,0.0,PARTIAL_RENORMALIZED
new_0505,0.466,0.0848,0.3299,0.3299,0.0,PARTIAL_RENORMALIZED
new_0506,0.4176,0.0736,0.2948,0.2948,0.0,PARTIAL_RENORMALIZED
new_0507,0.0,0.0528,0.0189,0.0189,0.0,PARTIAL_RENORMALIZED
new_0508,0.4923,0.0742,0.343,0.343,0.0,PARTIAL_RENORMALIZED
new_0509,0.5013,0.1203,0.3652,0.3652,0.0,PARTIAL_RENORMALIZED
new_0510,0.4752,0.0607,0.3272,0.3272,0.0,PARTIAL_RENORMALIZED
new_0511,0.0,0.0678,0.0242,0.0242,0.0,PARTIAL_RENORMALIZED
new_0512,0.3874,0.0863,0.2799,0.2799,0.0,PARTIAL_RENORMALIZED
new_0513,0.0,0.0852,0.0304,0.0304,0.0,PARTIAL_RENORMALIZED
new_0514,1.0,0.1205,0.6859,0.6859,0.0,PARTIAL_RENORMALIZED
new_0515,0.4999,0.0642,0.3443,0.3443,0.0,PARTIAL_RENORMALIZED
new_0516,0.4983,0.0688,0.3449,0.3449,0.0,PARTIAL_RENORMALIZED
new_0517,0.5009,0.0916,0.3547,0.3547,0.0,PARTIAL_RENORMALIZED
new_0518,1.0,0.2489,0.7318,0.7318,0.0,PARTIAL_RENORMALIZED
new_0519,0.0,0.08,0.0286,0.0286,0.0,PARTIAL_RENORMALIZED
new_0520,0.3937,0.0755,0.2801,0.2801,0.0,PARTIAL_RENORMALIZED
new_0521,0.499,0.0988,0.3561,0.3561,0.0,PARTIAL_RENORMALIZED
new_0522,0.5431,0.0937,0.3826,0.3826,0.0,PARTIAL_RENORMALIZED
new_0523,0.4446,0.0811,0.3148,0.3148,0.0,PARTIAL_RENORMALIZED
new_0524,0.4643,0.0904,0.3308,0.3308,0.0,PARTIAL_RENORMALIZED
new_0525,0.5795,0.0655,0.396,0.396,0.0,PARTIAL_RENORMALIZED
new_0526,1.0,0.1112,0.6826,0.6826,0.0,PARTIAL_RENORMALIZED
new_0527,0.4998,0.0815,0.3504,0.3504,0.0,PARTIAL_RENORMALIZED
new_0528,0.3334,0.0768,0.2418,0.2418,0.0,PARTIAL_RENORMALIZED
new_0529,0.0,0.0652,0.0233,0.0233,0.0,PARTIAL_RENORMALIZED
new_0530,1.0,0.1127,0.6831,0.6831,0.0,PARTIAL_RENORMALIZED
new_0531,0.0,0.0735,0.0262,0.0262,0.0,PARTIAL_RENORMALIZED
new_0532,0.4166,0.0581,0.2886,0.2886,0.0,PARTIAL_RENORMALIZED
new_0533,0.4986,0.0696,0.3454,0.3454,0.0,PARTIAL_RENORMALIZED
new_0534,0.4188,0.0693,0.294,0.294,0.0,PARTIAL_RENORMALIZED
new_0535,0.0,0.0622,0.0222,0.0222,0.0,PARTIAL_RENORMALIZED
new_0536,0.4993,0.0978,0.3559,0.3559,0.0,PARTIAL_RENORMALIZED
new_0537,0.0,0.0742,0.0265,0.0265,0.0,PARTIAL_RENORMALIZED
new_0538,1.0,0.054,0.6622,0.6622,0.0,PARTIAL_RENORMALIZED
new_0539,0.4998,0.0927,0.3544,0.3544,0.0,PARTIAL_RENORMALIZED
new_0540,0.4295,0.1016,0.3124,0.3124,0.0,PARTIAL_RENORMALIZED
new_0541,0.0,0.0782,0.0279,0.0279,0.0,PARTIAL_RENORMALIZED
new_0542,0.3882,0.0476,0.2666,0.2666,0.0,PARTIAL_RENORMALIZED
new_0543,0.0,0.0568,0.0203,0.0203,0.0,PARTIAL_RENORMALIZED
new_0544,0.4137,0.0766,0.2933,0.2933,0.0,PARTIAL_RENORMALIZED
new_0545,0.0,0.1623,0.058,0.058,0.0,PARTIAL_RENORMALIZED
new_0546,0.5354,0.0824,0.3736,0.3736,0.0,PARTIAL_RENORMALIZED
new_0547,0.0,,0.0,0.0,0.0,P1_ONLY
new_0548,0.3986,0.0804,0.285,0.285,0.0,PARTIAL_RENORMALIZED
new_0549,0.0,0.1139,0.0407,0.0407,0.0,PARTIAL_RENORMALIZED
new_0550,1.0,0.0676,0.667,0.667,0.0,PARTIAL_RENORMALIZED
mat_0551,0.0,0.4304,0.1537,0.1537,0.0,PARTIAL_RENORMALIZED
mat_0552,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0553,0.0,0.1363,0.0487,0.0487,0.0,PARTIAL_RENORMALIZED
mat_0554,0.2365,0.2069,0.2259,0.2259,0.0,PARTIAL_RENORMALIZED
mat_0555,0.0,0.2073,0.074,0.074,0.0,PARTIAL_RENORMALIZED
mat_0556,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0557,0.5006,0.161,0.3793,0.3793,0.0,PARTIAL_RENORMALIZED
mat_0558,0.0,0.1837,0.0656,0.0656,0.0,PARTIAL_RENORMALIZED
mat_0559,0.0,0.2284,0.0816,0.0816,0.0,PARTIAL_RENORMALIZED
mat_0560,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0561,0.0,0.0876,0.0313,0.0313,0.0,PARTIAL_RENORMALIZED
mat_0562,0.3203,0.0622,0.2281,0.2281,0.0,PARTIAL_RENORMALIZED
mat_0563,0.0,0.1454,0.0519,0.0519,0.0,PARTIAL_RENORMALIZED
mat_0564,0.7215,,0.7215,0.7215,0.0,P1_ONLY
mat_0565,0.4975,0.1009,0.3559,0.3559,0.0,PARTIAL_RENORMALIZED
mat_0566,0.3641,0.0708,0.2594,0.2594,0.0,PARTIAL_RENORMALIZED
mat_0567,0.0,0.0616,0.022,0.022,0.0,PARTIAL_RENORMALIZED
mat_0568,0.6927,0.2479,0.5339,0.5339,0.0,PARTIAL_RENORMALIZED
mat_0569,0.0,0.107,0.0382,0.0382,0.0,PARTIAL_RENORMALIZED
mat_0570,0.3086,0.0302,0.2092,0.2092,0.0,PARTIAL_RENORMALIZED
mat_0571,0.1807,0.106,0.154,0.154,0.0,PARTIAL_RENORMALIZED
mat_0572,0.0,0.33,0.1178,0.1178,0.0,PARTIAL_RENORMALIZED
mat_0573,0.0,0.1403,0.0501,0.0501,0.0,PARTIAL_RENORMALIZED
mat_0574,0.2126,0.0306,0.1476,0.1476,0.0,PARTIAL_RENORMALIZED
mat_0575,0.0,0.161,0.0575,0.0575,0.0,PARTIAL_RENORMALIZED
mat_0576,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0577,0.4991,0.1085,0.3596,0.3596,0.0,PARTIAL_RENORMALIZED
mat_0578,0.0,0.0911,0.0325,0.0325,0.0,PARTIAL_RENORMALIZED
mat_0579,0.0,0.0641,0.0229,0.0229,0.0,PARTIAL_RENORMALIZED
mat_0580,0.0,0.1237,0.0442,0.0442,0.0,PARTIAL_RENORMALIZED
mat_0581,0.0216,0.0558,0.0338,0.0338,0.0,PARTIAL_RENORMALIZED
mat_0582,0.3812,0.0819,0.2743,0.2743,0.0,PARTIAL_RENORMALIZED
mat_0583,0.0,0.1283,0.0458,0.0458,0.0,PARTIAL_RENORMALIZED
mat_0584,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0585,0.0,0.1432,0.0511,0.0511,0.0,PARTIAL_RENORMALIZED
mat_0586,0.0,0.1135,0.0405,0.0405,0.0,PARTIAL_RENORMALIZED
mat_0587,0.0,0.2224,0.0794,0.0794,0.0,PARTIAL_RENORMALIZED
mat_0588,0.9514,0.095,0.6456,0.6456,0.0,PARTIAL_RENORMALIZED
mat_0589,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0590,0.0,0.0729,0.026,0.026,0.0,PARTIAL_RENORMALIZED
mat_0591,0.0,0.1127,0.0402,0.0402,0.0,PARTIAL_RENORMALIZED
mat_0592,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0593,0.5023,0.0933,0.3562,0.3562,0.0,PARTIAL_RENORMALIZED
mat_0594,0.0,0.0876,0.0313,0.0313,0.0,PARTIAL_RENORMALIZED
mat_0595,0.1037,0.143,0.1177,0.1177,0.0,PARTIAL_RENORMALIZED
mat_0596,0.0,,0.0,0.0,0.0,P1_ONLY
mat_0597,0.4955,,0.4955,0.4955,0.0,P1_ONLY
mat_0598,0.0,0.0689,0.0246,0.0246,0.0,PARTIAL_RENORMALIZED
mat_0599,0.0,0.1178,0.0421,0.0421,0.0,PARTIAL_RENORMALIZED
mat_0600,0.0,,0.0,0.0,0.0,P1_ONLY
geo_0601,0.4994,0.1041,0.3582,0.3582,0.0,PARTIAL_RENORMALIZED
geo_0602,0.997,0.0241,0.6496,0.6496,0.0,PARTIAL_RENORMALIZED
geo_0603,0.5222,0.0504,0.3537,0.3537,0.0,PARTIAL_RENORMALIZED
geo_0604,0.5714,0.1195,0.41,0.41,0.0,PARTIAL_RENORMALIZED
geo_0605,0.05,0.3305,0.1502,0.1502,0.0,PARTIAL_RENORMALIZED
geo_0606,0.7822,0.1155,0.5441,0.5441,0.0,PARTIAL_RENORMALIZED
geo_0607,0.988,0.5257,0.8229,0.8229,0.0,PARTIAL_RENORMALIZED
geo_0608,0.8149,0.2263,0.6047,0.6047,0.0,PARTIAL_RENORMALIZED
geo_0609,0.1553,0.2915,0.2039,0.2039,0.0,PARTIAL_RENORMALIZED
geo_0610,0.1425,0.0844,0.1218,0.1218,0.0,PARTIAL_RENORMALIZED
geo_0611,0.9985,0.4921,0.8177,0.8177,0.0,PARTIAL_RENORMALIZED
geo_0612,0.0,0.1799,0.0642,0.0642,0.0,PARTIAL_RENORMALIZED
geo_0613,0.1594,0.0872,0.1336,0.1336,0.0,PARTIAL_RENORMALIZED
geo_0614,0.9916,0.0529,0.6564,0.6564,0.0,PARTIAL_RENORMALIZED
geo_0615,0.3269,0.488,0.3844,0.3844,0.0,PARTIAL_RENORMALIZED
geo_0616,0.9315,0.2439,0.686,0.686,0.0,PARTIAL_RENORMALIZED
geo_0617,0.0359,0.1332,0.0706,0.0706,0.0,PARTIAL_RENORMALIZED
geo_0618,0.4179,0.1207,0.3118,0.3118,0.0,PARTIAL_RENORMALIZED
geo_0619,0.6464,0.3868,0.5537,0.5537,0.0,PARTIAL_RENORMALIZED
geo_0620,0.8314,0.3735,0.6679,0.6679,0.0,PARTIAL_RENORMALIZED
geo_0621,0.5,0.1429,0.3725,0.3725,0.0,PARTIAL_RENORMALIZED
geo_0622,0.986,0.1988,0.7049,0.7049,0.0,PARTIAL_RENORMALIZED
geo_0623,0.2605,0.1843,0.2333,0.2333,0.0,PARTIAL_RENORMALIZED
geo_0624,0.7257,0.1453,0.5184,0.5184,0.0,PARTIAL_RENORMALIZED
geo_0625,0.2765,0.0775,0.2054,0.2054,0.0,PARTIAL_RENORMALIZED
geo_0626,0.997,0.0482,0.6582,0.6582,0.0,PARTIAL_RENORMALIZED
geo_0627,0.3285,0.4802,0.3827,0.3827,0.0,PARTIAL_RENORMALIZED
geo_0628,0.14,0.2016,0.162,0.162,0.0,PARTIAL_RENORMALIZED
