Signal_Mask,Mode,auroc,auprc,f1,accuracy,precision,recall,specificity,brier,ece,aurc
"[1, 1, 1]",Complete Tri-Pillar Observability,1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0502,0.1971,0.0
"[1, 0, 1]",Black-Box Multi-Sample (No Logprobs),1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0507,0.1977,0.0
"[1, 1, 0]",White-Box Single-Turn (No Consistency),1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0506,0.1969,0.0
"[0, 1, 1]",Offline Triangulation (No Retrieval),1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0509,0.1967,0.0
"[1, 0, 0]",Single-Turn Black-Box (P1 Only),1.0,0.9967,1.0,1.0,1.0,1.0,1.0,0.0512,0.1977,0.0
"[0, 1, 0]",Logprob Entropy Only (P2 Only),1.0,0.9967,0.9983,0.9987,1.0,0.9967,1.0,0.0532,0.1944,0.0001
"[0, 0, 1]",Sample Variance Only (P3 Only),1.0,0.9967,0.9983,0.9987,1.0,0.9967,1.0,0.0527,0.1964,0.0001
