category,n,threshold,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,mcc,auroc,auprc,brier_score
TRUE_CONTROL,25,0.5,17,8,0,0,0.68,0.0,0.0,0.68,0.0,0.68,0.0,,,0.23
NUMERICAL_PRECISION,25,0.5,0,0,7,18,0.72,1.0,0.72,0.0,0.8372,0.72,0.0,,,0.2273
UNIT_SCALE,25,0.5,0,0,2,23,0.92,1.0,0.92,0.0,0.9583,0.92,0.0,,,0.0831
NEGATION,25,0.5,0,0,0,25,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,0.0073
CAUSAL_INVERSION,25,0.5,0,0,7,18,0.72,1.0,0.72,0.0,0.8372,0.72,0.0,,,0.1864
OUTDATED_SCIENTIFIC_CLAIM,25,0.5,0,0,8,17,0.68,1.0,0.68,0.0,0.8095,0.68,0.0,,,0.2258
TRUE_CORE_FALSE_ELABORATION,25,0.5,0,0,12,13,0.52,1.0,0.52,0.0,0.6842,0.52,0.0,,,0.3083
