domain,n,threshold,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1_score,balanced_accuracy,mcc,auroc,auprc,brier_score
Physics,35,0.5,3,2,9,21,0.6857,0.913,0.7,0.6,0.7925,0.65,0.2212,0.6967,0.9194,0.2569
Chemistry,35,0.5,4,1,8,22,0.7429,0.9565,0.7333,0.8,0.8302,0.7667,0.3932,0.83,0.9578,0.1492
Biology,35,0.5,3,2,7,23,0.7429,0.92,0.7667,0.6,0.8364,0.6833,0.284,0.76,0.9515,0.1875
Medicine,35,0.5,3,2,6,24,0.7714,0.9231,0.8,0.6,0.8571,0.7,0.3203,0.8333,0.9693,0.1542
Mathematics,35,0.5,4,1,6,24,0.8,0.96,0.8,0.8,0.8727,0.8,0.4648,0.8767,0.9788,0.1581
