dataset,domain,N,AUROC,AUROC_CI_LOW,AUROC_CI_HIGH,AUPRC,F1,accuracy,precision,recall,specificity,ECE,Brier,AURC
TruthfulQA,Multi-domain Misconceptions,200,0.9937,0.9833,0.9995,0.9862,0.9714,0.97,1.0,0.9444,1.0,0.0989,0.0456,0.0081
HaluEval,Open-Domain QA & Dialogue,200,0.9934,0.9853,0.999,0.9854,0.9623,0.96,0.9808,0.9444,0.9783,0.0818,0.0433,0.0043
FEVER,Encyclopedia Fact Verification,200,0.9971,0.9924,1.0,0.9863,0.956,0.96,0.9886,0.9255,0.9906,0.0983,0.0375,0.0031
RAGTruth,Retrieval-Augmented Generation,150,0.9996,0.9979,1.0,0.9872,0.9677,0.9667,1.0,0.9375,1.0,0.1002,0.0304,0.0017
BioASQ-FactCheck,Biomedical & Clinical Claims,100,1.0,1.0,1.0,0.9796,0.9462,0.95,1.0,0.898,1.0,0.1355,0.0441,0.0025
COMBINED_EXTERNAL_BENCHMARK,Cross-Dataset Unified,850,0.9964,0.9938,0.9985,0.9947,0.9624,0.9624,0.9927,0.9339,0.9927,0.0986,0.0403,0.0044
