Signal_Mask,Scenario,Fixed_AUROC,Adaptive_AUROC,Delta_AUROC,Adaptive_F1,Adaptive_ECE,Degradation_vs_Full,Effect_Size_Cohen_d,Paired_p_value
"[1, 1, 1]",Complete Tri-Pillar Observability,0.9958,0.9958,0.0,0.9624,0.1017,0.0,0.0,0.042
"[1, 0, 1]",Black-Box Multi-Sample (No Logprobs),0.996,0.996,0.0,0.9611,0.1042,-0.0002,0.0,0.042
"[1, 1, 0]",White-Box Single-Turn (No Consistency),0.9957,0.9957,0.0,0.9637,0.1024,0.0001,0.0,0.042
"[0, 1, 1]",Offline Triangulation (No Retrieval),0.9947,0.9947,0.0,0.9576,0.1035,0.0011,0.0,0.042
"[1, 0, 0]",Single-Turn Black-Box (P1 Only),0.9961,0.9961,0.0,0.9587,0.1,-0.0003,0.0,0.042
"[0, 1, 0]",Logprob Entropy Only (P2 Only),0.9934,0.9934,0.0,0.9554,0.1019,0.0024,0.0,0.042
"[0, 0, 1]",Sample Variance Only (P3 Only),0.9938,0.9938,0.0,0.9574,0.0994,0.002,0.0,0.042
