Model,Physics_Acc,Physics_F1,Physics_AUROC,Chemistry_Acc,Chemistry_F1,Chemistry_AUROC,Biology_Acc,Biology_F1,Biology_AUROC,Medicine_Acc,Medicine_F1,Medicine_AUROC,Mathematics_Acc,Mathematics_F1,Mathematics_AUROC
"DeBERTa-v3-Small (Control)",0.48,0.6286,0.6132,0.52,0.6471,0.6047,0.56,0.6857,0.7692,0.52,0.6667,0.8707,0.48,0.6486,0.5737
"DeBERTa-v3-XSmall",0.48,0.6486,0.7853,0.48,0.6486,0.61,0.48,0.6486,0.7329,0.48,0.6486,0.7179,0.52,0.6667,0.6688
"DistilRoBERTa-NLI",0.48,0.6486,0.6191,0.48,0.6486,0.61,0.48,0.6486,0.5972,0.48,0.6486,0.7628,0.52,0.6667,0.5705
"DistilBERT-MNLI",0.48,0.6486,0.4979,0.48,0.6486,0.5801,0.48,0.6486,0.6378,0.48,0.6486,0.7382,0.52,0.6667,0.4728
