Model,DIRECT_FACTUAL_Acc,DIRECT_FACTUAL_F1,NUMERICAL_PRECISION_Acc,NUMERICAL_PRECISION_F1,UNIT_SCALE_Acc,UNIT_SCALE_F1,NEGATION_POLARITY_Acc,NEGATION_POLARITY_F1,CAUSAL_DIRECTION_Acc,CAUSAL_DIRECTION_F1,CONDITIONAL_CONTEXT_Acc,CONDITIONAL_CONTEXT_F1,TEMPORAL_OUTDATED_Acc,TEMPORAL_OUTDATED_F1,MULTI_HOP_Acc,MULTI_HOP_F1,COMPOUND_CLAIM_Acc,COMPOUND_CLAIM_F1,TRUE_CORE_FALSE_ELABORATION_Acc,TRUE_CORE_FALSE_ELABORATION_F1,CORRELATION_CAUSATION_Acc,CORRELATION_CAUSATION_F1,EXCEPTION_GENERALIZATION_Acc,EXCEPTION_GENERALIZATION_F1,QUANTITATIVE_REASONING_Acc,QUANTITATIVE_REASONING_F1
"DeBERTa-v3-Small (Control)",0.5,0.6667,0.5,0.6154,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.6,0.7143,0.5,0.6154,0.6727,0.7353,0.4545,0.625,0.5636,0.6757,0.4545,0.625,0.4545,0.625,0.4545,0.625
"DeBERTa-v3-XSmall",0.5,0.6667,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.4545,0.625,0.5636,0.6757,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625
"DistilRoBERTa-NLI",0.5,0.6667,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.6,0.7143,0.5,0.6667,0.5,0.6667,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625
"DistilBERT-MNLI",0.5,0.6667,0.5,0.6667,0.5,0.6667,0.5,0.6667,0.6,0.7143,0.5,0.6667,0.5,0.6667,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625,0.4545,0.625
