Model,Precision,Recall,AUPRC
Pure CrossEncoder,0.8545,0.2507,0.778
Pure CrossEncoder,0.8571,0.24,0.778
Pure CrossEncoder,0.86,0.2293,0.778
Pure CrossEncoder,0.8737,0.2213,0.778
Pure CrossEncoder,0.8667,0.208,0.778
Pure CrossEncoder,0.8706,0.1973,0.778
Pure CrossEncoder,0.8875,0.1893,0.778
Pure CrossEncoder,0.9067,0.1813,0.778
Pure CrossEncoder,0.9143,0.1707,0.778
Pure CrossEncoder,0.9385,0.1627,0.778
Pure CrossEncoder,0.9333,0.1493,0.778
Pure CrossEncoder,0.9455,0.1387,0.778
Pure CrossEncoder,0.96,0.128,0.778
Pure CrossEncoder,0.9778,0.1173,0.778
Pure CrossEncoder,1.0,0.1067,0.778
Pure CrossEncoder,1.0,0.0933,0.778
Pure CrossEncoder,1.0,0.08,0.778
Pure CrossEncoder,1.0,0.0667,0.778
Pure CrossEncoder,1.0,0.0533,0.778
Pure CrossEncoder,1.0,0.04,0.778
Pure CrossEncoder,1.0,0.0267,0.778
Pure CrossEncoder,1.0,0.0133,0.778
Pure CrossEncoder,1.0,0.0,0.778
Pure NLI,0.5,1.0,0.8031
Pure NLI,0.5034,1.0,0.8031
Pure NLI,0.5068,1.0,0.8031
Pure NLI,0.5088,0.9973,0.8031
Pure NLI,0.5123,0.9973,0.8031
Pure NLI,0.5145,0.9947,0.8031
Pure NLI,0.5181,0.9947,0.8031
Pure NLI,0.5217,0.9947,0.8031
Pure NLI,0.5254,0.9947,0.8031
Pure NLI,0.5277,0.992,0.8031
Pure NLI,0.5314,0.992,0.8031
Pure NLI,0.5353,0.992,0.8031
Pure NLI,0.5377,0.9893,0.8031
Pure NLI,0.5401,0.9867,0.8031
Pure NLI,0.5412,0.9813,0.8031
Pure NLI,0.5452,0.9813,0.8031
Pure NLI,0.5478,0.9787,0.8031
Pure NLI,0.5489,0.9733,0.8031
Pure NLI,0.5515,0.9707,0.8031
Pure NLI,0.5527,0.9653,0.8031
Pure NLI,0.5569,0.9653,0.8031
Pure NLI,0.5597,0.9627,0.8031
Pure NLI,0.5625,0.96,0.8031
Pure NLI,0.5669,0.96,0.8031
Pure NLI,0.5667,0.952,0.8031
Pure NLI,0.5712,0.952,0.8031
Pure NLI,0.5742,0.9493,0.8031
Pure NLI,0.5772,0.9467,0.8031
Pure NLI,0.5803,0.944,0.8031
Pure NLI,0.5802,0.936,0.8031
Pure NLI,0.5833,0.9333,0.8031
Pure NLI,0.5882,0.9333,0.8031
Pure NLI,0.5915,0.9307,0.8031
Pure NLI,0.5966,0.9307,0.8031
Pure NLI,0.6017,0.9307,0.8031
Pure NLI,0.607,0.9307,0.8031
Pure NLI,0.6105,0.928,0.8031
Pure NLI,0.6142,0.9253,0.8031
Pure NLI,0.6161,0.92,0.8031
Pure NLI,0.6144,0.9093,0.8031
Pure NLI,0.6164,0.904,0.8031
Pure NLI,0.6165,0.896,0.8031
Pure NLI,0.6204,0.8933,0.8031
Pure NLI,0.6262,0.8933,0.8031
Pure NLI,0.6283,0.888,0.8031
Pure NLI,0.6343,0.888,0.8031
Pure NLI,0.6346,0.88,0.8031
Pure NLI,0.6408,0.88,0.8031
Pure NLI,0.6431,0.8747,0.8031
Pure NLI,0.6455,0.8693,0.8031
Pure NLI,0.646,0.8613,0.8031
Pure NLI,0.6505,0.8587,0.8031
Pure NLI,0.6551,0.856,0.8031
Pure NLI,0.6598,0.8533,0.8031
Pure NLI,0.6625,0.848,0.8031
Pure NLI,0.6674,0.8453,0.8031
Pure NLI,0.6723,0.8427,0.8031
Pure NLI,0.6731,0.8347,0.8031
Pure NLI,0.6804,0.8347,0.8031
Pure NLI,0.6835,0.8293,0.8031
Pure NLI,0.6844,0.8213,0.8031
Pure NLI,0.6854,0.8133,0.8031
Pure NLI,0.6886,0.808,0.8031
Pure NLI,0.6943,0.8053,0.8031
Pure NLI,0.6977,0.8,0.8031
Pure NLI,0.7012,0.7947,0.8031
Pure NLI,0.7071,0.792,0.8031
Pure NLI,0.7084,0.784,0.8031
Pure NLI,0.7146,0.7813,0.8031
Pure NLI,0.716,0.7733,0.8031
Pure NLI,0.7175,0.7653,0.8031
Pure NLI,0.7215,0.76,0.8031
Pure NLI,0.7179,0.7467,0.8031
Pure NLI,0.7247,0.744,0.8031
Pure NLI,0.7316,0.7413,0.8031
Pure NLI,0.7333,0.7333,0.8031
Pure NLI,0.7378,0.728,0.8031
Pure NLI,0.737,0.7173,0.8031
Pure NLI,0.7417,0.712,0.8031
Pure NLI,0.7465,0.7067,0.8031
Pure NLI,0.7457,0.696,0.8031
Pure NLI,0.7478,0.688,0.8031
Pure NLI,0.7471,0.6773,0.8031
Pure NLI,0.7493,0.6693,0.8031
Pure NLI,0.7515,0.6613,0.8031
Pure NLI,0.7538,0.6533,0.8031
Pure NLI,0.7531,0.6427,0.8031
Pure NLI,0.7556,0.6347,0.8031
Pure NLI,0.7581,0.6267,0.8031
Pure NLI,0.7607,0.6187,0.8031
Pure NLI,0.7733,0.6187,0.8031
Pure NLI,0.7729,0.608,0.8031
Pure NLI,0.7724,0.5973,0.8031
Pure NLI,0.7754,0.5893,0.8031
Pure NLI,0.7821,0.584,0.8031
Pure NLI,0.7818,0.5733,0.8031
Pure NLI,0.7815,0.5627,0.8031
Pure NLI,0.7925,0.56,0.8031
Pure NLI,0.7962,0.552,0.8031
Pure NLI,0.8,0.544,0.8031
Pure NLI,0.8,0.5333,0.8031
Pure NLI,0.8041,0.5253,0.8031
Pure NLI,0.8083,0.5173,0.8031
Pure NLI,0.8085,0.5067,0.8031
Pure NLI,0.8087,0.496,0.8031
Pure NLI,0.8133,0.488,0.8031
Pure NLI,0.8091,0.4747,0.8031
Pure NLI,0.814,0.4667,0.8031
Pure NLI,0.8238,0.4613,0.8031
Pure NLI,0.839,0.4587,0.8031
Pure NLI,0.835,0.4453,0.8031
Pure NLI,0.8462,0.44,0.8031
Pure NLI,0.8526,0.432,0.8031
Pure NLI,0.8541,0.4213,0.8031
Pure NLI,0.8556,0.4107,0.8031
Pure NLI,0.8571,0.4,0.8031
Pure NLI,0.8529,0.3867,0.8031
Pure NLI,0.8606,0.3787,0.8031
Pure NLI,0.8562,0.3653,0.8031
Pure NLI,0.8581,0.3547,0.8031
Pure NLI,0.8733,0.3493,0.8031
Pure NLI,0.8759,0.3387,0.8031
Pure NLI,0.8929,0.3333,0.8031
Pure NLI,0.8963,0.3227,0.8031
Pure NLI,0.9,0.312,0.8031
Pure NLI,0.904,0.3013,0.8031
Pure NLI,0.9,0.288,0.8031
Pure NLI,0.8957,0.2747,0.8031
Pure NLI,0.9,0.264,0.8031
Pure NLI,0.8952,0.2507,0.8031
Pure NLI,0.9,0.24,0.8031
Pure NLI,0.9053,0.2293,0.8031
Pure NLI,0.9222,0.2213,0.8031
Pure NLI,0.9176,0.208,0.8031
Pure NLI,0.925,0.1973,0.8031
Pure NLI,0.92,0.184,0.8031
Pure NLI,0.9143,0.1707,0.8031
Pure NLI,0.9077,0.1573,0.8031
Pure NLI,0.9333,0.1493,0.8031
Pure NLI,0.9273,0.136,0.8031
Pure NLI,0.92,0.1227,0.8031
Pure NLI,0.9111,0.1093,0.8031
Pure NLI,0.95,0.1013,0.8031
Pure NLI,0.9714,0.0907,0.8031
Pure NLI,0.9667,0.0773,0.8031
Pure NLI,1.0,0.0667,0.8031
Pure NLI,1.0,0.0533,0.8031
Pure NLI,1.0,0.04,0.8031
Pure NLI,1.0,0.0267,0.8031
Pure NLI,1.0,0.0133,0.8031
Pure NLI,1.0,0.0,0.8031
HalluciSense,0.5,1.0,0.9492
HalluciSense,0.504,1.0,0.9492
HalluciSense,0.5074,1.0,0.9492
HalluciSense,0.5109,1.0,0.9492
HalluciSense,0.5144,1.0,0.9492
HalluciSense,0.518,1.0,0.9492
HalluciSense,0.5216,1.0,0.9492
HalluciSense,0.5252,1.0,0.9492
HalluciSense,0.5289,1.0,0.9492
HalluciSense,0.5327,1.0,0.9492
HalluciSense,0.5365,1.0,0.9492
HalluciSense,0.5403,1.0,0.9492
HalluciSense,0.5443,1.0,0.9492
HalluciSense,0.5482,1.0,0.9492
HalluciSense,0.5523,1.0,0.9492
HalluciSense,0.5564,1.0,0.9492
HalluciSense,0.5605,1.0,0.9492
HalluciSense,0.5648,1.0,0.9492
HalluciSense,0.569,1.0,0.9492
HalluciSense,0.5734,1.0,0.9492
HalluciSense,0.5778,1.0,0.9492
HalluciSense,0.5823,1.0,0.9492
HalluciSense,0.5869,1.0,0.9492
HalluciSense,0.5915,1.0,0.9492
HalluciSense,0.5962,1.0,0.9492
HalluciSense,0.5994,0.9973,0.9492
HalluciSense,0.6042,0.9973,0.9492
HalluciSense,0.6091,0.9973,0.9492
HalluciSense,0.6141,0.9973,0.9492
HalluciSense,0.6192,0.9973,0.9492
HalluciSense,0.6244,0.9973,0.9492
HalluciSense,0.6296,0.9973,0.9492
HalluciSense,0.635,0.9973,0.9492
HalluciSense,0.6404,0.9973,0.9492
HalluciSense,0.6459,0.9973,0.9492
HalluciSense,0.6516,0.9973,0.9492
HalluciSense,0.6555,0.9947,0.9492
HalluciSense,0.6613,0.9947,0.9492
HalluciSense,0.6655,0.992,0.9492
HalluciSense,0.6715,0.992,0.9492
HalluciSense,0.6776,0.992,0.9492
HalluciSense,0.6838,0.992,0.9492
HalluciSense,0.6883,0.9893,0.9492
HalluciSense,0.6948,0.9893,0.9492
HalluciSense,0.7013,0.9893,0.9492
HalluciSense,0.7061,0.9867,0.9492
HalluciSense,0.711,0.984,0.9492
HalluciSense,0.716,0.9813,0.9492
HalluciSense,0.7191,0.976,0.9492
HalluciSense,0.7262,0.976,0.9492
HalluciSense,0.7335,0.976,0.9492
HalluciSense,0.7368,0.9707,0.9492
HalluciSense,0.7444,0.9707,0.9492
HalluciSense,0.7521,0.9707,0.9492
HalluciSense,0.7557,0.9653,0.9492
HalluciSense,0.7637,0.9653,0.9492
HalluciSense,0.7676,0.96,0.9492
HalluciSense,0.7759,0.96,0.9492
HalluciSense,0.78,0.9547,0.9492
HalluciSense,0.7841,0.9493,0.9492
HalluciSense,0.7906,0.9467,0.9492
HalluciSense,0.7973,0.944,0.9492
HalluciSense,0.8041,0.9413,0.9492
HalluciSense,0.8134,0.9413,0.9492
HalluciSense,0.8182,0.936,0.9492
HalluciSense,0.8255,0.9333,0.9492
HalluciSense,0.8282,0.9253,0.9492
HalluciSense,0.8357,0.9227,0.9492
HalluciSense,0.8386,0.9147,0.9492
HalluciSense,0.8441,0.9093,0.9492
HalluciSense,0.8471,0.9013,0.9492
HalluciSense,0.8528,0.896,0.9492
HalluciSense,0.8612,0.8933,0.9492
HalluciSense,0.8646,0.8853,0.9492
HalluciSense,0.8734,0.8827,0.9492
HalluciSense,0.8824,0.88,0.9492
HalluciSense,0.8835,0.8693,0.9492
HalluciSense,0.8874,0.8613,0.9492
HalluciSense,0.8914,0.8533,0.9492
HalluciSense,0.904,0.8533,0.9492
HalluciSense,0.9083,0.8453,0.9492
HalluciSense,0.9128,0.8373,0.9492
HalluciSense,0.9204,0.832,0.9492
HalluciSense,0.9251,0.824,0.9492
HalluciSense,0.9301,0.816,0.9492
HalluciSense,0.9321,0.8053,0.9492
HalluciSense,0.931,0.792,0.9492
HalluciSense,0.9331,0.7813,0.9492
HalluciSense,0.9353,0.7707,0.9492
HalluciSense,0.9375,0.76,0.9492
HalluciSense,0.9398,0.7493,0.9492
HalluciSense,0.9388,0.736,0.9492
HalluciSense,0.9377,0.7227,0.9492
HalluciSense,0.9366,0.7093,0.9492
HalluciSense,0.9355,0.696,0.9492
HalluciSense,0.9343,0.6827,0.9492
HalluciSense,0.9368,0.672,0.9492
HalluciSense,0.9432,0.664,0.9492
HalluciSense,0.9459,0.6533,0.9492
HalluciSense,0.9528,0.6453,0.9492
HalluciSense,0.9558,0.6347,0.9492
HalluciSense,0.959,0.624,0.9492
HalluciSense,0.9582,0.6107,0.9492
HalluciSense,0.9573,0.5973,0.9492
HalluciSense,0.9694,0.592,0.9492
HalluciSense,0.9732,0.5813,0.9492
HalluciSense,0.9726,0.568,0.9492
HalluciSense,0.972,0.5547,0.9492
HalluciSense,0.9761,0.544,0.9492
HalluciSense,0.9755,0.5307,0.9492
HalluciSense,0.9749,0.5173,0.9492
HalluciSense,0.9845,0.5093,0.9492
HalluciSense,0.9894,0.4987,0.9492
HalluciSense,0.9891,0.4853,0.9492
HalluciSense,0.9888,0.472,0.9492
HalluciSense,0.9885,0.4587,0.9492
HalluciSense,0.9882,0.4453,0.9492
HalluciSense,0.9878,0.432,0.9492
HalluciSense,0.9874,0.4187,0.9492
HalluciSense,0.987,0.4053,0.9492
HalluciSense,0.9866,0.392,0.9492
HalluciSense,0.9931,0.3813,0.9492
HalluciSense,0.9928,0.368,0.9492
HalluciSense,0.9925,0.3547,0.9492
HalluciSense,0.9922,0.3413,0.9492
HalluciSense,0.9919,0.328,0.9492
HalluciSense,0.9916,0.3147,0.9492
HalluciSense,0.9912,0.3013,0.9492
HalluciSense,0.9908,0.288,0.9492
HalluciSense,0.9904,0.2747,0.9492
HalluciSense,0.9899,0.2613,0.9492
HalluciSense,0.9894,0.248,0.9492
HalluciSense,0.9888,0.2347,0.9492
HalluciSense,0.9881,0.2213,0.9492
HalluciSense,0.9873,0.208,0.9492
HalluciSense,0.9865,0.1947,0.9492
HalluciSense,0.9855,0.1813,0.9492
HalluciSense,0.9844,0.168,0.9492
HalluciSense,0.9831,0.1547,0.9492
HalluciSense,0.9815,0.1413,0.9492
HalluciSense,1.0,0.1307,0.9492
HalluciSense,1.0,0.1173,0.9492
HalluciSense,1.0,0.104,0.9492
HalluciSense,1.0,0.0907,0.9492
HalluciSense,1.0,0.0773,0.9492
HalluciSense,1.0,0.064,0.9492
HalluciSense,1.0,0.0507,0.9492
HalluciSense,1.0,0.0373,0.9492
HalluciSense,1.0,0.024,0.9492
