Model,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,AUROC,AUPRC,MCC,Brier_Score,ECE,Latency_MS
SelfCheckGPT,0.736,0.736,0.7287,0.752,0.72,0.7402,0.8182,0.8183,0.4722,0.1765,0.0383,298.98
RAGAS,0.7853,0.7853,0.773,0.808,0.7627,0.7901,0.8702,0.8476,0.5713,0.1533,0.0888,301.9
TRUE,0.716,0.716,0.7263,0.6933,0.7387,0.7094,0.7889,0.7824,0.4324,0.188,0.0398,299.42
AlignScore,0.7653,0.7653,0.7682,0.76,0.7707,0.7641,0.8521,0.8576,0.5307,0.1612,0.0665,302.84
FactScore,0.7893,0.7893,0.7863,0.7947,0.784,0.7905,0.8813,0.878,0.5787,0.1461,0.0646,303.85
Pure Retrieval,0.6547,0.6547,0.6568,0.648,0.6613,0.6523,0.7196,0.7089,0.3094,0.2148,0.0491,297.95
Pure CrossEncoder,0.7053,0.7053,0.7016,0.7147,0.696,0.7081,0.7722,0.778,0.4107,0.1935,0.0432,296.91
Pure NLI,0.7347,0.7347,0.7316,0.7413,0.728,0.7364,0.8023,0.8031,0.4694,0.1826,0.0388,299.83
HalluciSense,0.876,0.876,0.8895,0.8587,0.8933,0.8738,0.9501,0.9492,0.7525,0.1046,0.109,150.78
