category,n,baseline_accuracy,enhanced_accuracy,hybrid_accuracy,delta_hybrid_vs_enhanced_acc,baseline_f1,enhanced_f1,hybrid_f1,delta_hybrid_vs_enhanced_f1
TRUE_CONTROL,25,0.0,0.68,0.0,-0.68,0.0,0.0,0.0,0.0
NUMERICAL_PRECISION,25,1.0,0.72,1.0,0.28,1.0,0.8372,1.0,0.1628
UNIT_SCALE,25,1.0,0.92,1.0,0.08,1.0,0.9583,1.0,0.0417
NEGATION,25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
CAUSAL_INVERSION,25,1.0,0.72,1.0,0.28,1.0,0.8372,1.0,0.1628
OUTDATED_SCIENTIFIC_CLAIM,25,1.0,0.68,1.0,0.32,1.0,0.8095,1.0,0.1905
TRUE_CORE_FALSE_ELABORATION,25,1.0,0.52,1.0,0.48,1.0,0.6842,1.0,0.3158
