threshold,accuracy,precision,recall,f1,specificity,fpr,fnr,tp,tn,fp,fn
0.1,0.5187,0.5148,0.6507,0.5748,0.3867,0.6133,0.3493,244,145,230,131
0.2,0.536,0.534,0.5653,0.5492,0.5067,0.4933,0.4347,212,190,185,163
0.3,0.5533,0.5658,0.4587,0.5066,0.648,0.352,0.5413,172,243,132,203
0.4,0.5827,0.6962,0.2933,0.4128,0.872,0.128,0.7067,110,327,48,265
0.5,0.5733,0.7434,0.224,0.3443,0.9227,0.0773,0.776,84,346,29,291
0.6,0.56,0.7528,0.1787,0.2888,0.9413,0.0587,0.8213,67,353,22,308
0.7,0.5147,0.7391,0.0453,0.0854,0.984,0.016,0.9547,17,369,6,358
0.8,0.5013,0.5714,0.0107,0.0209,0.992,0.008,0.9893,4,372,3,371
0.9,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0,375,0,375
