configuration,accuracy,precision,recall,f1,auroc,auprc,ece,brier,mean_latency_ms
P1 Only (Evidence Grounding — Invariant Base),0.5707,0.6417,0.32,0.427,0.5542,0.6115,0.243,0.3415,2535.25
P3 Only (Semantic Consistency — Live Alternates),0.5067,0.7778,0.0187,0.0365,0.5234,0.5503,0.3627,0.385,14157.42
P1 + P3 (Grounding + Live Consistency Fusion),0.5733,0.7477,0.2213,0.3416,0.5622,0.5863,0.2531,0.326,16692.67
Full Adaptive Fusion (Availability-Aware),0.5733,0.7434,0.224,0.3443,0.5602,0.5839,0.2514,0.3265,12678.65
